,AC Name,PRICES,Conditioner Coil,POWER,NOISE LEVEL
0,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,"₹32,999",Condenser Coil: Copper,Power Consumption: 1700 W,Noise level: 45 dB
1,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,"₹32,999",Condenser Coil: Copper,Power Consumption: 1690 W,Noise level: 46 dB
2,Blue Star 0.8 Ton 3 Star Split Inverter AC  - White,"₹27,990",Condenser Coil: Copper,Power Consumption: 521.6 W,Noise level: 55 dB
3,Lloyd 1 Ton 3 Star Split Inverter AC  - White,"₹29,000",Condenser Coil: Copper,Power Consumption: 745.89 kWh,Noise level: 32 dB
4,ONIDA 1 Ton 3 Star Split Inverter AC  - White,"₹25,999",Condenser Coil: Copper,Power Consumption: 1220 W,Noise level: 50 dB
5,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,"₹34,990",Condenser Coil: Copper,Power Consumption: 975.37 W,Noise level: 62 dB
6,Daikin 1.5 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,"₹39,490",Condenser Coil: Copper,Power Consumption: 1670 W,Noise level: 45 dB
7,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,"₹40,490",Condenser Coil: Copper,Power Consumption: 836.04 W,Noise level: 63 dB
8,Voltas 2 in 1 Convertible Cooling 1.2 Ton 5 Star Split Inverter AC  - White,"₹33,990",Condenser Coil: Copper,Power Consumption: 688.95 kWh,Noise level: 46 dB
9,MarQ By Flipkart Convertible 4-in-1 Cooling 1.2 Ton 3 Star Split Inverter AC  - White,"₹26,999",Condenser Coil: Copper,Power Consumption: 841.63 kWh,Noise level: 40 dB
10,Blue Star 1.2 Ton 3 Star Split Inverter AC  - White,"₹31,990",Condenser Coil: Copper,Power Consumption: 926.14 W,Noise level: 58 dB
11,Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,"₹30,990",Condenser Coil: Copper,Power Consumption: 1660 W,Noise level: 43 dB
12,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,"₹38,999",Condenser Coil: Copper,Power Consumption: 1750 W,Noise level: 43 dB
13,Whirlpool 1.5 Ton 5 Star Split Inverter AC  - White,"₹35,990",Condenser Coil: Copper,Power Consumption: 1325 W,Noise level: 35 dB
14,CARRIER 4 in 1 Convertible Cooling 1.2 Ton 5 Star Split Inverter AC  - White,"₹34,999",Condenser Coil: Copper,Power Consumption: 1050 W,Noise level: 32 dB
15,Lloyd 1.25 Ton 3 Star Split Inverter AC  - White,"₹29,490",Condenser Coil: Copper,Power Consumption: 1485 W,Noise level: 32 dB
16,Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,"₹33,500",Condenser Coil: Copper,Power Consumption: 1030.5 kWh,Noise level: 42 dB
17,Daikin 1.5 Ton 5 Star Split Inverter with Anti Microbial Filter AC with Wi-fi Connect  - White,"₹45,500",Condenser Coil: Copper,Power Consumption: 1415 W,Noise level: 35 dB
18,Voltas 2 in 1 Convertible Cooling 1.6 Ton 3 Star Split Inverter AC  - White,"₹35,490",Condenser Coil: Copper,Power Consumption: 1880 W,Noise level: 46 dB
19,Daikin 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,"₹46,000",Condenser Coil: Copper,Power Consumption: 1325 W,Noise level: 48 dB
20,Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,"₹41,490",Condenser Coil: Copper,Power Consumption: 865.9 kWh,Noise level: 42 dB
21,Whirlpool 4 in 1 Convertible Cooling 1 Ton 3 Star Split Inverter AC  - White,"₹28,990",Condenser Coil: Copper,Power Consumption: 669.58 W,Noise level: 45 dB
22,Voltas 2 in 1 Convertible Cooling 1.2 Ton 3 Star Split Inverter AC  - White,"₹30,490",Condenser Coil: Copper,Power Consumption: 1430 W,Noise level: 44 dB
23,SAMSUNG 1 Ton 4 Star Split Inverter AC  - White,"₹31,990",Condenser Coil: Copper,Power Consumption: 960 W,Noise level: 40 dB
